"name","type","shortName","interaction1","interaction2","parm","period","group","groupName","rateType","basicRate","effect1","effect2","effect3","timeDummy","setting","fit_index","theta","observed_target","saved_t_ratio"
"milex.beh","rate","Rate","","",0,"17",1,"Group1",NA,TRUE,0,0,0,",","",46,0.352356687870564,18,-0.0250408906780716
"milex.beh","rate","Rate","","",0,"18",1,"Group1",NA,TRUE,0,0,0,",","",47,0.406736378638257,21,0.00451916013756244
"milex.beh","eval","linear","","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",48,-1.17166010129008,-69.2728255225141,-0.0433710818712562
"milex.beh","eval","quad","","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",49,-0.0277621928324776,5872.236164167,-0.0256012686843287
"milex.beh","eval","outdeg","dv.net","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",50,0.0887378223754959,-140.280057350614,-0.0242894484273261
"milex.beh","eval","behDenseTriads","dv.net","",6,NA,1,"Group1",NA,FALSE,0,0,0,",","",51,-0.0206531648859871,-2487.55083251299,-0.0162560747142144
"milex.beh","eval","effFrom","beh.democracy_1","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",52,-0.448791941613395,-379.259555131964,-0.0348703449765399
"milex.beh","eval","effFrom","beh.GDPgrowth_1","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",53,-2.23964116840803,-0.679365265477401,-0.0259161727119235
"milex.beh","eval","effFrom","beh.nato_1","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",54,0.875206602395026,58.7026301930386,-0.0137717174061682
"milex.beh","eval","effFrom","beh.allies_1","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",55,-0.0108921082528899,-4906.78509831848,0.0219412558869648
"milex.beh","eval","effFrom","beh.military_1","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",56,0.257493697047182,125.889154291228,0.00494213648194177
"milex.beh","eval","effFrom","beh.lnmids_1","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",57,0.137114613322007,583.76635941156,0.0115713234599274
"milex.beh","eval","effFrom","beh.milexSpLag_1","",0,NA,1,"Group1",NA,FALSE,0,0,0,",","",58,7.13077733294163,23.9631592275396,-0.021839943644867
