"name","effectName","functionName","shortName","interaction1","interaction2","type","basicRate","include","randomEffects","fix","test","timeDummy","initialValue","parm","functionType","period","rateType","untrimmedValue","effect1","effect2","effect3","interactionType","local","setting","netType","groupName","group","effectNumber"
"dv.net","basic rate parameter dv.net","Amount of network change","Rate","","","rate",TRUE,TRUE,FALSE,TRUE,FALSE,",",0.396523875004118,0,"rate","1",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,1
"dv.net","degree (density)","Number of edges","density","","","eval",FALSE,TRUE,TRUE,TRUE,FALSE,",",-5.52141640806783,0,"objective",NA,NA,0,0,0,0,"ego",FALSE,"","oneMode","Group1",1,14
"dv.net","transitive triads","Number of transitive triads","transTriads","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.1571744452659,0,"objective",NA,NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,17
"dv.net","degree act+pop","Sum of squared degrees","degPlus","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0571609144876432,1,"objective",NA,NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,47
"dv.net","nets.ATOP_d","Sum of ties x nets.ATOP_d","X","nets.ATOP_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",1.09609809719297,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,85
"dv.net","nets.lndistance_d","Sum of ties x nets.lndistance_d","X","nets.lndistance_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.854605961495316,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,114
"dv.net","nets.absidealdiff_d","Sum of ties x nets.absidealdiff_d","X","nets.absidealdiff_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.604645765168517,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,143
"dv.net","nets.lntrade_d","Sum of ties x nets.lntrade_d","X","nets.lntrade_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0714494962810946,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,172
"dv.net","nets.NATO_d","Sum of ties x nets.NATO_d","X","nets.NATO_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-3.37199964855424,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,201
"dv.net","beh.democracy_1 alter","Sum of degrees x beh.democracy_1","altX","beh.democracy_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",1.45293252990443,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,230
"dv.net","beh.lncinc_1 alter","Sum of degrees x beh.lncinc_1","altX","beh.lncinc_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.797031333384413,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,986
"dv.net","milex.beh alter","Sum of degrees x milex.beh","altX","milex.beh","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0567406031736518,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,1238
"milex.beh","rate milex.beh period 1","Amount of behavioral change","Rate","","","rate",TRUE,TRUE,FALSE,TRUE,FALSE,",",0.406471858859445,0,"rate","1",NA,0,0,0,0,"",FALSE,"","behavior","Group1",1,1400
"milex.beh","milex.beh linear shape","milex.beh centered sum","linear","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-1.16212979177028,0,"objective",NA,NA,0.0513534584258874,0,0,0,"OK",TRUE,"","behavior","Group1",1,1430
"milex.beh","milex.beh quadratic shape","milex.beh sum of cent. squares","quad","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0273665223883591,0,"objective",NA,NA,0,0,0,0,"",TRUE,"","behavior","Group1",1,1433
"milex.beh","milex.beh degree","milex.beh outdegrees","outdeg","dv.net","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0892596444222108,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1476
"milex.beh","milex.beh dense triads","milex.beh dense triads","behDenseTriads","dv.net","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0208057552371365,6,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1503
"milex.beh","milex.beh: effect from beh.democracy_1","milex.beh x beh.democracy_1","effFrom","beh.democracy_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.448287897971127,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1598
"milex.beh","milex.beh: effect from beh.GDPgrowth_1","milex.beh x beh.GDPgrowth_1","effFrom","beh.GDPgrowth_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-2.22768710850449,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1657
"milex.beh","milex.beh: effect from beh.nato_1","milex.beh x beh.nato_1","effFrom","beh.nato_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.873233937187635,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1716
"milex.beh","milex.beh: effect from beh.allies_1","milex.beh x beh.allies_1","effFrom","beh.allies_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0109555447790316,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1775
"milex.beh","milex.beh: effect from beh.military_1","milex.beh x beh.military_1","effFrom","beh.military_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.259558827895967,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1834
"milex.beh","milex.beh: effect from beh.lnmids_1","milex.beh x beh.lnmids_1","effFrom","beh.lnmids_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.13505316593542,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1893
"milex.beh","milex.beh: effect from beh.milexSpLag_1","milex.beh x beh.milexSpLag_1","effFrom","beh.milexSpLag_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",7.13030272568777,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,2011
