Package	Version	Built
tinytex	0.51	4.2.3
tkrgl	0.9	4.2.3
tools	4.2.1	4.2.1
tzdb	0.4.0	4.2.3
utf8	1.2.4	4.2.3
utils	4.2.1	4.2.1
uuid	1.2-0	4.2.3
vctrs	0.6.5	4.2.3
viridis	0.6.5	4.2.3
viridisLite	0.4.2	4.2.3
vroom	1.6.5	4.2.3
withr	3.0.0	4.2.3
xfun	0.45	4.2.3
xml2	1.3.3	4.2.1
xtable	1.8-4	4.2.3
xts	0.14.0	4.2.3
yaml	2.3.8	4.2.3
zoo	1.8-12	4.2.3
