"attempt","first_iteration","last_iteration","n","overall_using_full_covariance","maximum_absolute_t","mean_along_full_sample_maximizing_direction"
3,1,250,250,0.464623454047039,0.133686988199186,0.233439069107866
3,251,500,250,0.510853616763145,0.152646123681479,0.322814028706049
3,501,750,250,0.514648446303918,0.15255056104034,0.276020838037345
3,751,1000,250,0.451669738097018,0.134222339485008,0.2131020833431
