"attempt","first_iteration","last_iteration","n","overall_using_full_covariance","maximum_absolute_t","mean_along_full_sample_maximizing_direction"
1,1,250,250,0.518537187330104,0.137993154003802,0.344236919739951
1,251,500,250,0.557194735236992,0.190172419320672,0.402412471693919
1,501,750,250,0.548247846596357,0.166854114862281,0.377868088714844
1,751,1000,250,0.510526124167487,0.164430542068803,0.279260038837864
