"name","effectName","functionName","shortName","interaction1","interaction2","type","basicRate","include","randomEffects","fix","test","timeDummy","initialValue","parm","functionType","period","rateType","untrimmedValue","effect1","effect2","effect3","interactionType","local","setting","netType","groupName","group","effectNumber"
"dv.net","basic rate parameter dv.net","Amount of network change","Rate","","","rate",TRUE,TRUE,FALSE,TRUE,FALSE,",",0.510629513778621,0,"rate","1",NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,1
"dv.net","degree (density)","Number of edges","density","","","eval",FALSE,TRUE,TRUE,TRUE,FALSE,",",-5.87755177338703,0,"objective",NA,NA,0,0,0,0,"ego",FALSE,"","oneMode","Group1",1,14
"dv.net","transitive triads","Number of transitive triads","transTriads","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.221094236570973,0,"objective",NA,NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,17
"dv.net","degree act+pop","Sum of squared degrees","degPlus","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0622924693174336,1,"objective",NA,NA,0,0,0,0,"",FALSE,"","oneMode","Group1",1,47
"dv.net","nets.ATOP_d","Sum of ties x nets.ATOP_d","X","nets.ATOP_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",1.14822848777127,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,85
"dv.net","nets.lndistance_d","Sum of ties x nets.lndistance_d","X","nets.lndistance_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.949406294124219,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,114
"dv.net","nets.absidealdiff_d","Sum of ties x nets.absidealdiff_d","X","nets.absidealdiff_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.650893613353962,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,143
"dv.net","nets.lntrade_d","Sum of ties x nets.lntrade_d","X","nets.lntrade_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0582898918369462,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,172
"dv.net","nets.NATO_d","Sum of ties x nets.NATO_d","X","nets.NATO_d","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-3.82043749860568,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,201
"dv.net","beh.democracy_1 alter","Sum of degrees x beh.democracy_1","altX","beh.democracy_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",1.77232162972071,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,230
"dv.net","beh.lncinc_1 alter","Sum of degrees x beh.lncinc_1","altX","beh.lncinc_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.819024052219252,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,986
"dv.net","milex.beh alter","Sum of degrees x milex.beh","altX","milex.beh","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0510760774256285,0,"objective",NA,NA,0,0,0,0,"dyadic",FALSE,"","oneMode","Group1",1,1238
"milex.beh","rate milex.beh period 1","Amount of behavioral change","Rate","","","rate",TRUE,TRUE,FALSE,TRUE,FALSE,",",0.425968364261295,0,"rate","1",NA,0,0,0,0,"",FALSE,"","behavior","Group1",1,1400
"milex.beh","milex.beh linear shape","milex.beh centered sum","linear","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-1.17260269874513,0,"objective",NA,NA,0.0665155225752839,0,0,0,"OK",TRUE,"","behavior","Group1",1,1430
"milex.beh","milex.beh quadratic shape","milex.beh sum of cent. squares","quad","","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0359614455069618,0,"objective",NA,NA,0,0,0,0,"",TRUE,"","behavior","Group1",1,1433
"milex.beh","milex.beh degree","milex.beh outdegrees","outdeg","dv.net","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.0945143662363808,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1476
"milex.beh","milex.beh dense triads","milex.beh dense triads","behDenseTriads","dv.net","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0268026727078709,6,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1503
"milex.beh","milex.beh: effect from beh.democracy_1","milex.beh x beh.democracy_1","effFrom","beh.democracy_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.512086364275242,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1598
"milex.beh","milex.beh: effect from beh.GDPgrowth_1","milex.beh x beh.GDPgrowth_1","effFrom","beh.GDPgrowth_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-2.67262272559155,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1657
"milex.beh","milex.beh: effect from beh.nato_1","milex.beh x beh.nato_1","effFrom","beh.nato_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.892793331770048,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1716
"milex.beh","milex.beh: effect from beh.allies_1","milex.beh x beh.allies_1","effFrom","beh.allies_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",-0.0112674384800711,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1775
"milex.beh","milex.beh: effect from beh.military_1","milex.beh x beh.military_1","effFrom","beh.military_1","","eval",FALSE,TRUE,FALSE,TRUE,FALSE,",",0.244337570792934,0,"objective",NA,NA,0,0,0,0,"OK",FALSE,"","behavior","Group1",1,1834
