"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
-4,8,22,12,14,-4,10,-14,-2,-14,-18,-24,2,22,-20,-12,4,14,20,-6.00000000000091,-12,-91.2880250335966,59.0329028865781,-40.0171953359281,225.355911999053,9.11041003841092,-39.4283136159513,28.7463157894749,36.4956503081703,6,-1,-1,-12,-6,-9,-1,2,-2,6,4,9,1,3,3,7,-3,-2,-66.0000000000001,-147.724600086918,-214,-490,32.2694736842105,-3.7631127625026,-2.07999999999996,-15.6399999999994,2.93684210526317,-1.67065828761918,-0.354404538414173
-2,6,2,-16,4,8,-8,40,-2,10,20,-24,10,-16,0,4,-10,16,9,27,1976,21.2013641784924,-5.07554652478848,66.3919863589704,55.7157888069851,-14.5739290074764,132.797318188402,10.5028070175454,27.4352348900247,-10,-1,7,5,-2,0,-9,1,2,-10,5,10,1,1,0,-2,-3,10,-41.0000000000001,-61.738009144904,-97.0000000000003,94,11.9098245614035,-1.63196532154474,5.91999999999999,439.360000000001,-6.55438596491226,-7.99633385727827,-0.249623386799573
-2,-24,18,20,-10,-20,22,-20,-8,-18,-8,14,-18,-4,-12,26,-22,-8,-7,24,-596,21.8662397363387,-7.4151093049577,30.6235004860073,11.401489959695,9.88521419850508,-30.7743681956457,-16.3968421052623,3.06311651040414,-12,-8,-6,4,1,-4,4,-3,-6,-10,-8,-4,-7,-4,6,-9,5,3,19.9999999999999,79.1892727536124,-108,-336,-15.6877192982456,-0.024015211071713,-2.40000000000002,-236.200000000002,7.80701754385964,3.30026539167488,0.65777686609162
4,-8,-16,-2,-10,-6,14,-2,-22,22,10,6,-4,20,0,10,16,-16,-8,47.9999999999991,-128,70.3331011588652,-11.4151093049577,60.8590042446144,280.58319243836,11.8852141985053,3.5067045289924,9.13754385965058,96.8840383431707,0,-5,6,1,12,-2,2,-10,-3,10,-8,-5,-7,2,0,-2,-3,-8,-12.0000000000001,25.6864363478326,139,481,15.4126315789475,1.74576207927903,4.43999999999998,421.52,-8.28421052631576,-23.46999432097,-0.270328058642477
-2,-6,20,-6,28,12,34,2,4,-10,-4,6,-20,-14,28,2,-6,-4,12,-48,408,-14.8934054791225,15.8631214964935,32.7035028290074,34.2475279343707,-8.66001835859811,25.8986590942015,1.29649122807177,-12.8816297058875,12,-7,-2,-10,-11,-9,5,7,7,0,4,2,4,-2,3,5,-3,9,-22.0000000000001,-95.9082000289727,142,315,0.756491228070274,1.81899691850354,5.63999999999998,786.119999999998,2.31228070175439,14.8464969230973,0.413746685621
2,16,6,-8,-16,8,-12,-2,-14,2,22,-6,18,-4,10,34,18,8,11,-9.00000000000091,2380,-22.7919731878756,41.8631214964935,38.7776515186315,151.972409275906,9.33998164140189,29.6175863695626,22.8308771929837,35.934761259432,-10,-1,-5,-6,6,3,-3,6,-4,-5,3,-1,0,-4,5,-5,-1,2,-16.0000000000001,-45.751418202889,-139,-485,5.55017543859651,-0.22487543139688,-7.07999999999998,378.360000000001,-10.0456140350877,-2.45252314999505,-1.51099916970701
2,20,22,2,-2,-12,0,10,-6,-18,-4,-18,24,-10,18,-4,-6,-2,-10,85.9999999999991,-152,-52.406403703164,11.2924453475207,-52.920818461901,229.989422019404,11.9426070992531,65.4283136159514,24.2750877192993,41.2795817337883,13,2,6,-10,1,10,2,7,-1,-14,0,-2,5,-2,-6,-1,-10,2,-18.0000000000001,-138.470345478251,-99.9999999999998,-509,5.61894736842112,-2.33217092476462,10.16,-149.720000000001,1.07368421052634,-9.52438469842514,-1.28832620129655
-6,-6,-2,-2,4,-8,-4,8,8,-18,14,-12,8,12,10,-2,-10,-8,-33,-99.0000000000009,-3572,56.8995386050065,-20.5706761489728,-56.1914542436889,-320.154510049331,-11.3973745421483,8.41877268117997,-25.1431578947354,-40.63791445678,-13,-16,10,-3,-2,-2,5,-4,-3,15,-3,-6,-1,-3,-4,2,0,1,2.99999999999987,98.0783909130414,-67,-105,-0.603157894736796,-1.65898416723226,-5.35999999999999,-548.879999999999,-2.17894736842103,10.722584191878,0.518482654012519
0,-8,-12,-36,6,4,-8,8,-4,-20,-8,-8,-4,6,8,-34,12,6,-24,-180.000000000001,-4136,-57.8798194570827,12.5991052411127,-27.4313073848643,-93.8231566776303,4.37305385486047,33.193140876826,-12.2277192982442,-174.104901561026,2,-5,-2,-2,5,-2,-1,0,0,10,5,-3,0,-8,3,4,-7,8,-27.0000000000001,-72.7055182173754,-162,-370,7.42842105263162,2.10204676507031,-7.75999999999998,94.9199999999992,2.61052631578949,-19.0893357820374,0.0108287751510545
0,-6,10,4,16,-18,10,18,6,-8,14,0,-2,-20,-10,4,-14,8,-6,-35.0000000000009,-1216,-19.0921581162402,-5.76888663119735,-29.6208327623308,52.7187214207079,-16.1434822518688,2.48375453623618,-2.46561403508667,-54.851185518517,2,-1,-8,1,2,-16,-6,1,7,1,5,-2,-6,6,-3,-7,-1,1,-12,63.6864363478335,-29.0000000000001,-11,-7.58736842105247,2.37531966476451,-12.56,-352.48,-4.28421052631576,-4.59827205622275,0.116360902084079
