"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
2,20,-12,-14,-10,6,14,4,0,-24,0,24,-8,18,12,14,24,12,47,225,5180,-225.19046731683,75.480915078113,-69.2802127095729,408.955772855144,0.335605878316755,-73.9025272174159,10.8894736842117,124.191736245341,6,-5,-8,2,-10,2,1,-6,-4,8,-6,-6,-3,5,6,-3,-2,-4,2.99999999999999,-27.9216090869586,116,432,-8.60315789473685,0.21612875026957,-14.36,-219.879999999999,-5.17894736842105,-4.79166097377936,-0.333603709595135
-4,-16,-14,-4,6,4,-4,8,6,20,2,-28,10,2,0,0,22,-6,-2,117,2540,-50.988337773455,16.4622267376062,12.6446683390764,-181.136238420506,1.71303549626191,39.6405363623194,-9.27508771929706,-93.4139300568349,-1,-9,16,2,-4,0,0,0,-2,1,-1,10,7,2,3,-1,-3,1,-37,-174.300154594182,129,233,32.7722807017545,1.69526308622483,19.44,232.52,-9.79298245614035,20.4442614076191,-0.495427746601411
4,10,6,12,-14,-18,-12,6,20,-22,-4,18,10,14,-2,18,18,-16,4,-48.9999999999991,-1040,-40.0179837333162,16.6933401064089,-31.7833402191532,-298.158831383094,-4.43044675560736,-83.1567818260832,4.84666666666817,-158.006894468288,3,-3,-1,5,-14,-10,2,2,3,-4,12,0,1,0,9,4,1,-7,2.9999999999999,30.0783909130414,16.9999999999998,47.0000000000005,-0.603157894736739,2.07822884282366,-5.35999999999991,284.12,5.82105263157897,11.124321068872,0.515548262405471
-4,2,-8,20,-20,4,-12,8,-12,18,10,14,-4,16,-2,-14,-32,-2,29,143,3572,-28.9304926190998,12.5564616029014,7.1493143126936,189.001951716091,4.90953488579385,2.34605457969491,9.19614035087852,91.8226801483524,-5,3,2,-1,-10,1,-2,-7,2,1,8,0,-4,2,3,-8,5,-4,5.99999999999995,130.156781826083,-138,-129,1.79368421052641,1.93673730801549,-4.72000000000003,-861.759999999999,-6.35789473684211,5.83470101662704,0.78189163602319
-4,10,2,-16,-8,-24,-2,-16,0,16,-10,0,-16,-16,6,-16,-26,-8,-78,-259.000000000001,-8916,190.310587268115,-98.2969191419588,113.86258556,-435.291800965191,-16.077337824951,63.4226408043944,-50.5140350877182,-185.568962951142,8,-8,-4,-2,-7,8,-3,9,2,3,7,-1,-7,-3,-4,5,-6,-1,5.99999999999992,40.1567818260828,123,466.999999999999,-12.2063157894736,0.587216571437317,-7.71999999999998,-389.76,-4.3578947368421,29.7977768101224,0.0852891848806081
-2,-14,2,10,4,-18,12,-2,-6,-2,-16,-6,16,4,0,-10,10,-2,10,101.999999999999,1144,-116.642292062032,28.2168988227322,-96.7273413749531,-31.9384721270326,13.3686780917756,15.9770500072434,-22.1003508771923,-0.438541839335812,-5,-13,1,-4,17,5,2,2,-1,5,1,-7,-1,1,3,-3,-2,-8,-11.0000000000001,-62.9541000144873,177,447,2.87824561403511,-0.0598997849391441,7.32000000000004,-287.440000000001,1.65614035087721,-9.61394686008316,0.0613179667102628
6,6,26,18,-8,6,-18,8,0,4,-8,-2,0,8,22,-16,-8,-22,-17,-61,-3744,-13.3954272738538,1.76888663119735,-79.7939758535408,-48.4085946351042,-17.85651774813,-49.4473954854931,-28.2435087719282,-46.6937519237381,-6,6,-1,5,-2,-3,-7,4,-1,4,-6,0,-3,-4,2,2,-1,-2,-47,-137.894790970988,-147,-517,6.11614035087734,-0.298001002637978,14.64,192.119999999999,0.803508771929856,-12.0379460779091,-0.732260917728325
-8,12,6,10,10,20,-6,6,-10,-10,2,-26,2,4,0,-28,6,-2,-14,-60,-3216,26.089727425715,1.4151093049577,-20.1083260767082,-182.774312130226,-7.88521419850417,32.0917999710273,6.61894736842214,-110.649551935274,-1,2,-11,5,3,-5,5,6,3,11,-10,2,3,-5,2,9,0,-2,-5.00000000000006,43.2026818115964,-92,-364,3.67192982456146,3.23677159655635,4.60000000000002,437.799999999999,-7.7017543859649,-4.60708887039948,0.0334827321811808
-6,-8,16,-4,-12,6,26,16,-16,4,14,18,-14,20,16,6,2,8,14,-48.9999999999991,-28,-59.4453726735355,17.1555668440142,88.9456517182316,340.08999172003,-14.7174112593461,13.9541000144865,13.1589473684226,60.6604891707193,-3,6,5,7,7,-4,-4,0,-3,6,4,-1,4,3,5,7,-3,-2,16,-76.248581797111,301,893,12.4498245614035,0.242576937094632,10.08,-228.359999999999,17.0456140350877,9.98628930369148,-0.882467822653865
2,6,-14,-6,4,18,-6,14,-4,-14,8,-14,-16,-4,16,-28,-20,8,-51,-129,-2888,162.296806503857,-47.4951296241843,2.08088050684955,-240.696804149986,-4.82344553467146,5.0497681087277,15.163508771931,-78.0988568547873,5,2,5,5,11,2,-3,-3,0,-2,6,-4,6,5,0,-4,8,-1,47.9999999999999,-80.745745391333,-74.0000000000002,-209,4.34947368421064,-7.14794697570612,3.24000000000007,-322.079999999999,1.13684210526317,-37.2752577217797,-0.940818006725856
