"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
-2,8,22,-12,0,-6,0,26,-16,-4,-16,-14,16,-12,-12,18,2,4,-17,49,-1952,-38.2021066278921,2.83021860991539,-52.2841509914242,194.871877651851,-9.77042839700835,-21.4473954854934,-22.6403508771923,-26.6781932325739,0,4,2,2,-8,-3,3,4,12,-16,-2,5,-2,0,4,-1,-2,-2,-10.0000000000001,82.4053636231938,-221,-671,-2.65614035087714,0.181302114438599,-1.80000000000003,322.599999999999,10.5964912280702,0.51990416075796,0.18081295742455
0,0,-10,-6,16,4,-4,2,14,6,24,0,-6,0,-16,0,12,2,27,105,4808,-117.415969761185,6.20268427666178,-67.1795311134665,123.578827630983,24.8808384354206,68.1663227608547,29.7305263157909,86.3103620222228,-6,1,-8,16,-8,-4,5,-1,15,4,0,-17,-3,0,-6,8,-3,-2,-15,-58.3919545652088,-103,-446,-4.98421052631574,5.33388098891311,-7.20000000000003,138.4,-8.10526315789474,10.670129423396,0.449423025612635
-6,-6,2,-22,16,0,6,4,-4,12,0,8,-14,-6,-2,-14,36,14,-14,41.9999999999991,416,115.288996530579,-22.938668021282,32.7870187968442,136.020614717236,-13.9139106488778,12.3499227029091,19.0845614035097,44.6699803426582,4,-4,-8,1,-7,4,-2,9,-5,4,-6,-1,7,2,6,-2,-5,-9,16,93.751418202889,102,419,-3.5501754385964,-0.0166065134526326,1.08000000000009,-414.359999999998,-2.95438596491229,8.09558227040668,0.747621259323108
10,-8,20,-6,-12,6,0,6,2,12,8,18,14,16,-6,20,8,24,16,235,4372,-44.1034613269712,62.4480121915349,-40.5030083300144,339.058038700423,3.22519583990652,-4.68643634783317,-0.978596491226654,67.6730233921753,-6,2,5,-1,3,7,0,-1,-5,-2,2,-2,3,2,0,-2,1,2,5.99999999999985,-103.843218173916,49.9999999999999,89.9999999999995,20.7936842105264,-4.2643543035186,11.28,146.240000000001,-5.3578947368421,24.0295624498781,0.0435166060634558
-2,-2,-2,8,2,4,6,2,-14,-6,8,0,-4,-10,18,-38,12,-6,-8,-171,-4612,-0.564727104952908,-17.4151093049577,-14.7239882393696,89.3306825992186,-2.11478580149469,46.6864363478329,-8.86245614034942,-56.8738088388691,2,2,1,-10,6,1,1,-3,3,-3,-4,4,-4,2,12,-3,0,-4,-13.0000000000001,118.326972710151,-138,20,-24.0529824561402,-1.09007323519006,-9.43999999999998,-1077.52,-5.22456140350876,-19.8314904356373,0.778851351419902
-2,4,8,-16,4,-10,0,16,-14,6,-12,8,-10,10,-12,20,6,-6,-4,93.9999999999991,784,-53.5287190806721,19.1697813900846,-10.3084981627926,-182.316192549086,19.7704283970095,15.7418772681179,7.86245614035215,-70.7087966892741,3,3,-3,0,-2,3,-2,2,3,10,-2,5,6,2,6,0,1,-1,-10.0000000000001,-185.594636376807,-22.9999999999999,-389,-0.656140350877138,-0.878098208897316,19.2,-60.3999999999996,-0.403508771929808,-3.82868265669856,-0.423640332622846
2,-10,2,10,-4,-10,-2,-8,6,-28,12,4,-10,0,-18,-4,-22,-8,-18,-60,-2140,-1.23630301573576,-13.877336042563,60.5066951555355,87.4758596250904,-3.82782129775637,92.3499227029093,18.8252631578957,-61.1581406166879,1,8,4,-4,0,-12,-1,1,-2,2,-7,-3,-7,6,-1,0,4,0,6.99999999999991,27.5162454637648,358,1064,-22.7407017543858,-1.40588573698086,11.16,860.279999999999,-6.41754385964913,-1.32165657233975,0.231415794982691
-8,-2,-8,14,10,4,10,0,6,12,4,6,-22,-20,22,2,4,-22,-26,22,-1500,58.0054681687761,2.95288256735148,71.8405185962529,-182.02223429484,-27.5982496947654,55.0363590507426,-37.6245614035074,7.94778803578629,-2,-6,-5,4,-1,-5,4,-1,-7,-8,-4,-3,2,2,6,4,3,-5,-5.6843418860808e-14,142,-98.0000000000001,7,-2.99999999999994,0.161323902954095,5.00000000000001,-764.999999999999,11,-21.4369968093425,-0.419809397115468
0,0,24,2,14,2,2,14,-8,28,-4,4,-12,0,8,26,-2,12,33,-8.00000000000091,536,4.65077734345505,18.7875749717041,-30.7920236446589,136.25290585246,0.766052633924801,4.72846821013252,11.3866666666677,32.4439834145342,-2,-6,3,-1,-1,2,-9,3,-3,5,-1,-2,-1,4,1,5,15,3,-3.00000000000007,33.9216090869577,-15.9999999999999,-16,16.6031578947369,-2.71314872261,0.360000000000021,345.880000000001,-7.82105263157895,10.1616947997694,0.270526939389928
-2,-10,16,10,32,-6,-8,24,12,20,-8,16,-2,-2,4,-10,2,6,27,15.0000000000009,1460,-41.2404847385096,36.2026842766618,11.3633111944941,194.64196746915,12.8808384354199,70.4473954854935,3.73052631579048,32.2210078483531,3,-8,2,6,6,2,8,1,-3,-8,5,-4,0,2,-14,-4,2,-2,-18,-160.470345478251,74,184.999999999999,-1.38105263157883,0.483407569477207,-16.84,-17.7199999999984,-10.9263157894737,4.72746839464628,0.198214625077707
0,-6,-8,2,6,-4,20,-14,6,4,0,2,-22,-16,-8,8,12,-14,-42,-83,-4248,61.2743716202149,-20.6791255603384,57.232036897889,-157.122242904101,-5.08171358803634,116.363331760895,-25.4554385964902,-15.9196291253102,-1,-4,5,3,-4,-5,2,2,-5,-18,-11,3,0,5,-10,0,-1,-5,3.99999999999987,105.437854550722,-61.9999999999999,50.9999999999995,-23.137543859649,1.57884892333183,-6.48000000000003,-791.84,-2.23859649122807,-5.15435123808788,0.467189809246378
-4,-4,-10,-18,0,4,-18,-10,6,-8,-8,0,4,18,10,6,0,-12,-18,4.99999999999909,1144,48.3102824820216,-23.8773360425639,-6.71614981102493,-147.717736918545,-1.82782129775637,34.3728726956663,-9.17473684210381,-44.708596300341,-9,-2,2,12,-2,9,0,3,-1,0,5,6,8,2,3,4,-3,-2,-7.00000000000003,64.4837545362361,-164,-226,-3.25929824561399,-0.676481679349568,-3.15999999999992,132.719999999999,5.41754385964916,-17.4932539141496,-0.328414195752529
