"checkpoint","simulation","countries","mean_spending_category","density","clustering","centralization","ties"
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",1,159,1.90566037735849,0.0381339065361038,0.263630825464514,0.851324118604349,479
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",2,159,1.81761006289308,0.0368601226017037,0.272555800062873,0.851911382795966,463
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",3,159,1.83018867924528,0.0368601226017037,0.255482631663198,0.852752797223602,463
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",4,159,1.91823899371069,0.0375766260648038,0.260849056603774,0.85685954852141,472
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",5,159,1.94339622641509,0.0383727410238038,0.268649594401145,0.854462936996633,482
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",6,159,1.83647798742138,0.0380542950402038,0.26728404917771,0.858790933899756,478
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",7,159,1.88679245283019,0.0371785685853037,0.275143560295324,0.858857942884382,467
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",8,159,1.83018867924528,0.039885359445904,0.263165680473373,0.847953687613098,501
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",9,159,1.79245283018868,0.0387707985033039,0.260606060606061,0.853232644797319,487
"call-0001-67d42fa25d1712eb094def1dc528dd2f.rds",10,159,1.83018867924528,0.0370989570894037,0.282876064333018,0.854276700471467,466
"call-0002-8c8652405d0963e8b21be990c2464960.rds",1,159,2.23270440251572,0.0806464453467081,0.16109138478789,0.754874146162943,1013
"call-0002-8c8652405d0963e8b21be990c2464960.rds",2,159,2.08176100628931,0.0814425603057081,0.170731707317073,0.772642514655335,1023
"call-0002-8c8652405d0963e8b21be990c2464960.rds",3,159,2.20754716981132,0.0847862431335085,0.160236856271308,0.737708175698204,1065
"call-0002-8c8652405d0963e8b21be990c2464960.rds",4,159,2.29559748427673,0.0835920706950084,0.158662293545742,0.78576115361089,1050
"call-0002-8c8652405d0963e8b21be990c2464960.rds",5,159,2.11320754716981,0.0831940132155083,0.183752645191629,0.75439729855524,1045
"call-0002-8c8652405d0963e8b21be990c2464960.rds",6,159,2.22641509433962,0.0827163442401083,0.174459434485308,0.780157772299207,1039
"call-0002-8c8652405d0963e8b21be990c2464960.rds",7,159,2.11320754716981,0.080327999363108,0.169676254353154,0.761306541707985,1009
"call-0002-8c8652405d0963e8b21be990c2464960.rds",8,159,2.32075471698113,0.0833532362073083,0.160889107813558,0.740538989365482,1047
"call-0002-8c8652405d0963e8b21be990c2464960.rds",9,159,2.10691823899371,0.0816813947934082,0.163187128902509,0.761210901223043,1026
"call-0002-8c8652405d0963e8b21be990c2464960.rds",10,159,2.13836477987421,0.0833532362073083,0.16614096809414,0.746183402685137,1047
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",1,159,2.44025157232704,0.129209457845713,0.162702594924089,0.58976856203438,1623
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",2,159,2.56603773584906,0.132473529177613,0.169318090974498,0.649918996523542,1664
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",3,159,2.56603773584906,0.130722076267813,0.176596445029625,0.614433298549833,1642
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",4,159,2.57232704402516,0.131120133747313,0.163703147174222,0.619474423945595,1647
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",5,159,2.37106918238994,0.130403630284213,0.160578600776721,0.584828105027622,1638
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",6,159,2.51572327044025,0.134304593583313,0.1590897062715,0.610374970462636,1687
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",7,159,2.53459119496855,0.129050234853913,0.166633434927507,0.642642676456959,1621
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",8,159,2.59119496855346,0.132553140673513,0.166702896581708,0.626672819945348,1665
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",9,159,2.57232704402516,0.133747313112013,0.165832756693458,0.619900134604062,1680
"call-0003-6b4be4cdb93e8c20fa8079c8d762395b.rds",10,159,2.61006289308176,0.131358968235013,0.161577959363958,0.559656678729078,1650
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",1,159,2.67924528301887,0.172597723111217,0.19124374494228,0.481297421291615,2168
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",2,159,2.93710691823899,0.175384125467718,0.19377316766629,0.524940666119225,2203
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",3,159,2.58490566037736,0.173553061062017,0.186722606120434,0.476407043147882,2180
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",4,159,2.88050314465409,0.179364700262718,0.190795290613802,0.478508378944254,2253
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",5,159,2.79874213836478,0.171881219648117,0.193484042553191,0.546064858713621,2159
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",6,159,2.9748427672956,0.177454024361118,0.193524001511906,0.515105687475025,2229
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",7,159,2.67295597484277,0.173632672557917,0.199181246649447,0.539668041560313,2181
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",8,159,2.84905660377358,0.168617148316217,0.181536479640687,0.479399793038224,2118
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",9,159,2.88050314465409,0.173951118541517,0.187609670501072,0.507194662825076,2185
"call-0004-23fc345267d36272756b8ec59e23a7b5.rds",10,159,2.81132075471698,0.176259851922618,0.189135454079015,0.410884433421969,2214
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",1,159,2.87421383647799,0.211129687126821,0.220835533188798,0.412228510110431,2652
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",2,159,3.14465408805031,0.215667542393122,0.227961388480471,0.465300142444803,2709
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",3,159,2.88679245283019,0.209139399729321,0.219470460067761,0.373120693151733,2627
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",4,159,3.0377358490566,0.215189873417722,0.226170685895637,0.399061034637565,2703
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",5,159,2.9559748427673,0.211209298622721,0.225929679582131,0.483344325901629,2653
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",6,159,3.08805031446541,0.211607356102221,0.218273602567531,0.405667476958985,2658
"call-0005-9bc908f7edd6cc9bd7eec382523182bc.rds",7,159,3.06289308176101,0.213199586020221,0.221843825626088,0.419243931107527,2678
