"rate","metric","mean","lower","upper","simulations"
1,"Defense effort (ordinal categories)",1.85911949685535,1.80748377882361,1.91075521488708,10
1,"Network density",0.0378791497492238,0.036884714713468,0.0388735847849795,10
1,"Global clustering",0.267024332308099,0.25870739483418,0.275341269782018,10
1,"Eigenvector centralization",0.854042269380798,0.850528243674354,0.857556295087243,10
5,"Defense effort (ordinal categories)",2.18364779874214,2.09672837356423,2.27056722392005,10
5,"Network density",0.0825093543507683,0.0810421345193656,0.0839765741821709,10
5,"Global clustering",0.166882778076231,0.158776025325272,0.17498953082719,10
5,"Eigenvector centralization",0.759478089596347,0.742855941328124,0.77610023786457,10
10,"Defense effort (ordinal categories)",2.53396226415094,2.45757985220515,2.61034467609673,10
10,"Network density",0.131494307778043,0.12967543139142,0.133313184164666,10
10,"Global clustering",0.165273563271729,0.160058197297948,0.170488929245509,10
10,"Eigenvector centralization",0.611767066627905,0.583746385247649,0.639787748008162,10
15,"Defense effort (ordinal categories)",2.80691823899371,2.67811512740676,2.93572135058066,10
15,"Network density",0.174269564525117,0.171152918339912,0.177386210710323,10
15,"Global clustering",0.190700570427813,0.185745897679207,0.195655243176418,10
15,"Eigenvector centralization",0.49594709865372,0.455172773116187,0.536721424191254,10
20,"Defense effort (ordinal categories)",2.99559748427673,2.90520929706971,3.08598567148375,10
20,"Network density",0.211806384841971,0.208318721559105,0.215294048124837,10
20,"Global clustering",0.22187840952307,0.217317097610891,0.22643972143525,10
20,"Eigenvector centralization",0.41460384905377,0.37728847667447,0.451919221433069,10
25,"Defense effort (ordinal categories)",3.1937106918239,3.11664162141206,3.27077976223574,10
25,"Network density",0.244821272191704,0.239979017884779,0.24966352649863,10
25,"Global clustering",0.251050937414742,0.246121696667042,0.255980178162441,10
25,"Eigenvector centralization",0.374918341346827,0.343811704315394,0.406024978378259,10
