"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58"
2,0,14,12,-16,18,-2,8,4,0,2,-20,-2,2,18,0,8,-18,-15,50.9999999999982,-1796,45.5520742056688,-58.938668021282,-22.2648226279016,-189.128532640039,-5.91391064887807,75.6309954275479,-2.3810526315774,-113.140458509695,4,0,0,-7,3,-2,-5,0,0,-3,-3,-10,0,0,0,-4,-1,7,-35,108.418772681181,-176,-449,8.70350877192982,1.25815862024666,-6.79999999999996,157.6,-15.9122807017544,-10.0197215137241,0.403062130628122
-2,-8,2,6,12,-8,4,18,2,-12,16,2,-18,24,8,12,-4,6,50,409,8412,-88.9065621068949,70.0658057731553,0.354283083019709,663.788108062989,6.22082007682116,7.35559551446605,45.1487719298261,270.557862960221,-3,-12,10,3,0,0,-3,2,-12,8,-2,2,3,3,8,-4,0,-6,-27.0000000000001,17.2944817826246,35.9999999999998,-14,21.4284210526316,0.0373757100862265,12.24,17.9199999999992,-10.3894736842105,4.19663602546188,-0.357844563412083
-2,-6,2,6,34,36,14,8,-4,-14,-4,-2,-2,0,12,-28,4,10,52,48,1144,-116.844226210464,73.7120284469165,-47.7787229041951,334.304269521221,-3.80787637355252,-69.2065499348113,23.5456140350889,89.9907139828229,-8,2,0,1,6,-3,-8,4,2,2,5,0,-9,1,-5,-4,-1,-1,-26.0000000000001,-131.346054579695,-281,-463,-16.1059649122806,-1.29811087376786,0.11999999999999,-749.039999999999,-1.44912280701753,-26.3121701238293,0.334032444018948
4,-2,2,0,12,-4,14,2,-14,-4,2,-8,-24,12,-2,-20,2,12,12,46,1376,32.1735404864412,7.86312149649257,29.1284845581631,284.518537751908,-10.6600183585983,60.8757091014448,14.2964912280713,22.8379518429592,-2,3,4,12,0,-3,3,6,3,-6,-8,7,-5,-2,-3,0,-8,0,44.9999999999999,183.175863695626,117,57,-1.04736842105251,1.10407678672615,-16.4,-479.200000000002,-3.68421052631577,13.2473873106042,-0.112606051937
-4,0,-2,-2,6,6,0,6,-4,0,8,-6,18,2,-8,18,-10,-24,20,113.000000000001,1272,-102.312700034578,18.6791255603384,-35.7340243998592,12.581635324641,13.081713588037,43.6730272898474,-1.78807017543704,-11.2332393959005,-2,8,0,10,9,-3,3,-10,2,-1,14,1,0,-5,-1,0,2,-1,51.9999999999999,20.6921091593886,507.999999999999,1013,3.21192982456154,1.65492084710528,20.76,544.079999999999,-4.1017543859649,13.8945464119479,0.397926731501027
-2,0,4,-16,-22,-14,-2,28,8,6,10,-8,-2,20,-12,12,-10,-8,20,-76.0000000000009,276,-44.8890829227839,33.0329028865781,-22.8603606027978,-72.7507272880175,3.11041003841069,-66.3269727101523,23.7463157894749,-59.7729295333938,-8,0,-4,-5,-14,-5,-4,4,-6,14,6,13,-6,7,7,9,-4,3,-1.00000000000003,-7.35946363768107,-13,-28,5.53438596491242,-0.742396324559086,1.11999999999997,-124.04,2.05964912280703,-11.8040912942259,0.0611072588889918
-4,-2,12,22,8,-12,-4,-4,14,0,14,18,4,-2,10,-36,-10,-2,-25,-79,-4080,-4.24461140029234,30.5991052411127,-112.215815413487,-226.561280560563,-1.62694614513953,-16.346054579695,-9.69333333333225,-150.437044855684,7,-14,-6,-4,5,-3,-2,-6,-5,-2,1,6,-5,3,9,4,1,2,-11.0000000000001,19.0458999855136,-76.9999999999999,145,-8.12175438596478,2.79346258241086,-19.68,424.56,-3.34385964912279,-9.83436061665043,-0.297278845628075
-2,6,2,-6,12,-6,0,14,-2,20,-8,-2,-4,14,-22,4,8,-10,-23,-56,-3948,-42.2416051398741,11.8915505886334,5.86052298665163,-139.654777457064,-5.6843390458871,106.013409057986,1.16912280701854,-13.578710662543,-4,11,6,3,5,-5,2,-4,-4,3,-6,-8,-4,2,-1,-3,-5,-1,-27.0000000000001,-18.7055182173763,-4.00000000000014,378,-1.57157894736832,1.53498529394623,0.240000000000066,162.92,5.61052631578949,3.16376552928227,-0.327703093317005
12,0,-10,-24,-22,16,2,8,10,2,8,8,2,16,10,-6,-8,-14,11,50.0000000000009,1496,9.51682661889208,-41.4293238510281,-28.7008479081605,-156.410602022806,-18.6026254578505,-14.2810727246387,-10.1003508771919,-41.8838876113423,-4,0,14,-4,-5,5,-2,1,1,4,0,7,2,4,-9,1,-1,-6,-4.00000000000009,-3.43785455072248,88.9999999999999,380.999999999999,21.1375438596492,1.00293768282635,2.47999999999995,469.84,1.23859649122808,-19.1921384575306,-0.442733127167891
4,4,4,10,0,-10,22,16,2,10,6,-8,2,-8,16,2,0,10,31,169.999999999999,3708,-61.7206409047121,7.14135229794374,30.5571379706098,322.740857225312,-3.2052509157013,38.2447136738965,-0.0101754385950699,128.455492136653,1,9,-3,5,-14,1,-6,-3,9,5,-4,6,-2,2,-1,4,-1,-2,5.99999999999992,102.156781826085,-122,-224,-3.20631578947359,-1.48671129351269,-8.71999999999999,-734.759999999999,9.6421052631579,-9.27248627954771,-0.115951349569091
